id,Product Name,price,Filename,Category,Primary Object,Object Definition,Aesthetic Style,Mood & Feel,Price Tier,Dominant Colors,Color Palette,,link
1,CROKDOX KITCHENWARE Plastic Cookie Jar  - 1100 ml,386,image_1.jpg,ketchen,Containers,Clear plastic storage containers with purple lids for storing food,Modern,Cosy & Inviting,medium,"clear, purple","clear, purple, brown, yellow, green, red",,https://github.com/sawantyash07/kitchenware/blob/main/image_1.jpg
2,CROKDOX KITCHENWARE Plastic Cookie Jar  - 1100 ml,423,image_2.jpg,ketchen,Containers,clear plastic containers with blue lids for storing food or spices,Modern,Serene & Calm,medium,"blue, clear","blue, clear, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_2.jpg
3,BERTOL KITCHENWARE BERTOL KITCHENWARE Bowl Serving Set,416,image_3.jpg,ketchen,Dish,A type of kitchenware used for serving or storing food,Modern,Sleek & Modern,medium,"silver, white","silver, white, gray",,https://github.com/sawantyash07/kitchenware/blob/main/image_3.jpg
4,plizzo kitchenware Rectangular Classy 3 Section With 1 Spoon & 1 Fork Premium Quality Lunch Box 3 Containers Polypropylene School Lunch Box,117,image_4.jpg,ketchen,Lunchbox,A portable container used for storing and carrying food,Modern,Cosy & Inviting,medium,"green, grey","green, grey, transparent",,https://github.com/sawantyash07/kitchenware/blob/main/image_4.jpg
5,queen's kitchenware Tumbler Glass with Straw - 1 Pcs Multi-Purpose Stainless Steel Stainless Steel Tumbler,281,image_5.jpg,ketchen,Tumbler,A reusable metal cup,Modern,Cosy & Inviting,medium,"silver, teal","silver, teal, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_5.jpg
6,"G-PET Plastic Grocery Container  - 2000 ml, 1000 ml, 750 ml, 200 ml, 100 ml",807,image_6.jpg,ketchen,Jars,Kitchen storage containers,Modern,Cosy & Inviting,medium,"clear, silver","clear, silver, brown, green, tan",,https://github.com/sawantyash07/kitchenware/blob/main/image_6.jpg
7,RV kitchenware Premium quality cheese grater Vegetable & Fruit Grater,115,image_7.jpg,ketchen,Grater,A kitchen tool used to grate food,Modern,Cosy & Inviting,cheap,"red, white","red, silver, white, transparent",,https://github.com/sawantyash07/kitchenware/blob/main/image_7.jpg
8,"Malti Kitchenware Stainless Steel Grocery Container  - 600 ml, 500 ml, 400 ml",359,image_8.jpg,ketchen,Container,a kitchen storage container,Modern,Sleek & Modern,medium,"silver, red","silver, red, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_8.jpg
9,FORTUNA KITCHENWARE Milk Boiler|Pot with Lid|Cooker with Whistle Pot 17 cm diameter 2 L capacity with Lid,463,image_9.jpg,ketchen,Pot,A kitchen cooking vessel,Modern,Sleek & Modern,medium,"Silver, Black","Silver, Black, Green, Yellow",,https://github.com/sawantyash07/kitchenware/blob/main/image_9.jpg
10,National Kitchenware oil brush silicon Flat Pastry Brush,107,image_10.jpg,ketchen,Brush,a kitchen tool used for applying sauces or melted butter to food,Modern,Cosy & Inviting,cheap,"red, green","red, green, blue, pink, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_10.jpg
11,GRACIOUS MART Glass Pickle Jar  - 1499 ml,1416,image_11.jpg,ketchen,Jar,"a glass container with a lid and clasp, used for storing food",Traditional,Cosy & Inviting,medium,"yellow, clear","yellow, clear, white",,https://github.com/sawantyash07/kitchenware/blob/main/image_11.jpg
12,Analog Kitchenware 1000 ML 5 Blade SS Blade Hand Press Fruit & Vegetable Chopper Vegetable & Fruit Chopper,198,image_12.jpg,ketchen,Chopper,"A kitchen appliance used for chopping, mincing, or pureeing food.",Modern,Cosy & Inviting,medium,"green, clear","green, clear, red, gray",,https://github.com/sawantyash07/kitchenware/blob/main/image_12.jpg
