ID,Product Name,price,Filename,Category,Primary Object,Object Definition,Aesthetic Style,Mood & Feel,Price Tier,Dominant Colors,Color Palette,,link
1,"TheGoodLuck Wooden Floating Shelf for Wall , wall cabinet , wall shelves Particle Board Wall Shelf",1844,image_1.jpg,hall_room,Shelf,"A piece of furniture with horizontal boards attached to a wall, used for holding or displaying items",Minimalist,Serene & Calm,medium,"white, beige","white, beige, green",,https://github.com/sawantyash07/hall_room/blob/main/image_1.jpg
2,Nexwooddecor Wall Mounted Shelf Floating Hanging Shelf for Display and Room Organization Particle Board Wall Shelf,319,image_2.jpg,hall_room,Shelf,"a long, narrow, elevated structure attached to a wall, used for displaying decorative items",Cottagecore,Cosy & Inviting,medium,"brown, white","brown, white, green",,https://github.com/sawantyash07/hall_room/blob/main/image_2.jpg
3,PKVCREATION OM Mantra MDF Wooden Designer Hall Hanging for Home Decoration,236,image_3.jpg,hall_room,Sign,"A decorative sign with a string to hang it, featuring Sanskrit text in different colors.",Traditional,Serene & Calm,medium,"red, yellow","red, yellow, green, pink",,https://github.com/sawantyash07/hall_room/blob/main/image_3.jpg
4,PKVCREATION Wall Décor MDF Wooden Designer Hall Hanging for Home Decoration best for home,239,image_4.jpg,hall_room,Sign,A decorative sign with a message,Minimalist,Serene & Calm,medium,"blue, white","blue, white, orange, gray",,https://github.com/sawantyash07/hall_room/blob/main/image_4.jpg
5,"WOODSONS Floating Shelves for Wall, White Wood WallShelf Set of 3 24"" Wall Mounted Wooden Wall Shelf",798,image_5.jpg,hall_room,Shelf,A horizontal structure attached to a wall for holding objects,Modern,Serene & Calm,medium,"brown, black","brown, black, white, green",,https://github.com/sawantyash07/hall_room/blob/main/image_5.jpg
6,"My Dream Carts Mdf Wooden Cutting Ganesha Key Holder For Home,Office,Hall,Living Room Wood Key Holder",131,image_6.jpg,hall_room,Keyholder,A wooden board with hooks for hanging keys,Traditional,Cosy & Inviting,medium,"brown, silver","brown, silver, wooden",,https://github.com/sawantyash07/hall_room/blob/main/image_6.jpg
7,FSHANDICRAFTSS Wall Showpiece Room Hall Bedroom Stylisht Metal 40x40x5 Wall Art_F98,480,image_7.jpg,hall_room,Bed,A piece of furniture for sleeping or resting,Modern,Serene & Calm,medium,"Beige, Gray","Beige, Gray, Green",,https://github.com/sawantyash07/hall_room/blob/main/image_7.jpg
8,"HOUSE OF COMMON Krishna Mantra Wall Hangings Home Decor Items For Living Room, Bedroom",161,image_8.jpg,hall_room,Sign,A decorative hanging sign with Sanskrit text,Traditional,Cosy & Inviting,medium,"blue, orange","blue, orange, red, green, yellow, light blue",,https://github.com/sawantyash07/hall_room/blob/main/image_8.jpg
9,MACHINEX MODERN METAL WALL DECORE | FOR LIVING ROOM | BED ROOM | HALL | OFFICE,1544,image_9.jpg,hall_room,Mandala,"A decorative art piece, often used for spiritual or aesthetic purposes",Minimalist,Serene & Calm,medium,"black, white","black, white, green",,https://github.com/sawantyash07/hall_room/blob/main/image_9.jpg
10,FSHANDICRAFTSS Wall Showpiece Showpiece Room Hall Bedroom Stylisht Metal Wall Art_(209),480,image_10.jpg,hall_room,Decor,A decorative wall art piece featuring flowers,Modern,Serene & Calm,medium,"Black, White","Black, White, Brown",,https://github.com/sawantyash07/hall_room/blob/main/image_10.jpg
